dns-a01, dns
dns-a02, dns
ftpdrop-a01, ftpdrop
ftpdrop-a02, ftpdrop
rproxy-a01, rproxy
rproxy-a02, rproxy
update, update
old-pres-t01, NONE
asimov, asimov
logs, logs
svn, svn
git, git
staging, staging
app, app
radius, radius
mpala, mpala
lm2, lm2
ovs-spirit, ovs-spirit
ovs, ovs
sheepskin, sheepskin
commspacks, commspacks
klidi, klidi
heatmap, NONE
sis-amq-a01, amq
sis-cif-a01, cif-sis
sis-cif-a02, cif-sis
sis-cif-a03, cif-sis
sis-cif-a04, cif-sis
sis-dove-a01, dove-sis
sis-dove-a02, dove-sis
sis-dettol-a01, dettol-sis
sis-dettol-a02, dettol-sis
sis-pres-a01, sis-footballsuper
sis-pres-a02, sis-footballsuper
sis-router, sis-router
valde-amq-a01, amq
valde-amq-a02, amq
valde-dettol-a01, dettol
valde-dettol-a02, dettol
valde-cif-a01, cif
valde-cif-a02, cif
valde-cif-a03, cif
valde-cif-a04, cif
valde-cif-a05, cif
valde-cif-a06, cif
valde-cif-a07, cif
valde-cif-a08, cif
valde-cif-a09, cif
valde-cif-a10, cif
valde-cif-a11, cif
valde-cif-a12, cif
valde-cif-a13, cif
valde-cif-a14, cif
valde-cif-a15, cif
valde-cif-a16, cif
valde-cif-a17, cif
valde-cif-a18, cif
valde-cif-a19, cif
valde-cif-a20, cif
valde-cif-a21, cif
valde-cif-a22, cif
valde-cif-a23, cif
valde-cif-a24, cif
valde-cif-a25, cif
valde-cif-a26, cif
valde-cif-a27, cif
valde-cif-a28, cif
valde-cif-a29, cif
valde-cif-a30, cif
valde-cif-a31, cif
valde-cif-a32, cif
valde-cif-t01, cif-test
valde-dove-a01, dove
valde-dove-a02, dove
valde-dove-a03, dove
valde-dove-a04, dove
valde-dove-a05, dove
valde-dove-a06, dove
valde-dove-a07, dove
valde-dove-a08, dove
valde-dove-t01, dove-test
valde-jobq-a01, jobq
valde-jobq-a02, jobq
valde-jobq-a03, jobq
valde-jobq-a04, jobq
valde-jobq-a05, jobq
valde-jobq-a06, jobq
valde-jobq-a07, jobq
valde-jobq-a08, jobq
valde-jobq-a09, jobq
valde-jobq-a10, jobq
valde-jobq-a11, jobq
valde-jobq-a12, jobq
valde-jobq-a13, jobq
valde-jobq-a14, jobq
valde-jobq-a15, jobq
valde-jobq-a16, jobq
valde-jobq-t01, jobq-test
valde-omo-a01, omo
valde-omo-a02, omo
valde-omo-a03, omo
valde-omo-a04, omo
